Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"N1139551", 12.47, 1,    7200.97,  -44.6,    1.0002, 2,    7374.86, -166.2,    1.0243, 3,    7333.53,   79.8,    1.0186
"N1136355", 12.47, 2,     7327.9, -165.2,    1.0178, 0, 0, 0, 0, 0, 0, 0, 0
"L2783231", 12.47, 2,    7320.61, -165.2,    1.0168, 0, 0, 0, 0, 0, 0, 0, 0
"L2748143", 12.47, 1,    7230.63,  -43.1,    1.0043, 0, 0, 0, 0, 0, 0, 0, 0
"L3251854", 12.47, 1,    7230.52,  -43.1,    1.0043, 0, 0, 0, 0, 0, 0, 0, 0
"M1069610", 12.47, 2,    7262.13, -165.3,    1.0087, 0, 0, 0, 0, 0, 0, 0, 0
"M1069600", 12.47, 2,    7262.02, -165.3,    1.0087, 0, 0, 0, 0, 0, 0, 0, 0
"M1069424", 12.47, 1,     7303.3,  -44.3,    1.0144, 2,     7249.8, -166.7,     1.007, 3,    7354.94,   79.1,    1.0216
"L2935549", 12.47, 1,    7302.21,  -44.3,    1.0143, 2,    7245.64, -166.7,    1.0064, 3,    7353.73,   79.1,    1.0214
"P895089", 12.47, 3,    7508.61,   80.6,    1.0429, 0, 0, 0, 0, 0, 0, 0, 0
"L3235242", 12.47, 3,    7508.38,   80.6,    1.0429, 0, 0, 0, 0, 0, 0, 0, 0
"M1026795", 12.47, 1,    7295.15,  -44.5,    1.0133, 2,    7382.94, -166.2,    1.0255, 3,    7387.24,   79.7,    1.0261
"N1140522", 12.47, 3,    7387.21,   79.7,    1.0261, 0, 0, 0, 0, 0, 0, 0, 0
"L3030199", 12.47, 1,     7172.9,  -38.7,    0.9963, 2,    7211.23, -159.0,    1.0016, 3,    7445.39,   82.1,    1.0341
"M1125934", 12.47, 1,    7172.92,  -38.7,    0.9963, 2,    7210.29, -159.0,    1.0015, 3,    7444.71,   82.1,    1.0341
"M1069189", 12.47, 1,     7429.1,  -40.2,    1.0319, 2,    7405.37, -160.6,    1.0286, 3,    7435.92,   80.4,    1.0328
"L2860487", 12.47, 3,    7435.79,   80.4,    1.0328, 0, 0, 0, 0, 0, 0, 0, 0
"221-312488", 12.47, 1,    6867.95,  -40.4,   0.95394, 2,    7061.34, -161.5,    0.9808, 3,    7450.87,   81.8,    1.0349
"M1089183", 12.47, 1,    6867.94,  -40.4,   0.95394, 2,    7061.33, -161.5,    0.9808, 3,    7450.86,   81.8,    1.0349
"M1108464", 12.47, 2,    7058.95, -161.5,   0.98047, 0, 0, 0, 0, 0, 0, 0, 0
"L3102286", 12.47, 2,    7058.44, -161.5,    0.9804, 0, 0, 0, 0, 0, 0, 0, 0
"F739845", 12.47, 1,    7221.64,  -40.7,    1.0031, 2,    7169.11, -161.7,   0.99577, 3,    7409.82,   79.9,    1.0292
"293471", 12.47, 1,    7221.58,  -40.7,    1.0031, 2,    7169.04, -161.7,   0.99576, 3,    7409.75,   79.9,    1.0292
"P827499", 12.47, 1,    7301.03,  -44.3,    1.0141, 0, 0, 0, 0, 0, 0, 0, 0
"N1139254", 12.47, 1,    7301.02,  -44.3,    1.0141, 0, 0, 0, 0, 0, 0, 0, 0
"M1026657", 12.47, 1,    7177.83,  -44.7,   0.99698, 0, 0, 0, 0, 0, 0, 0, 0
"M1026656", 12.47, 1,     7177.6,  -44.7,   0.99695, 0, 0, 0, 0, 0, 0, 0, 0
"M1108299", 12.47, 2,    7179.26, -159.4,   0.99718, 0, 0, 0, 0, 0, 0, 0, 0
"M1108300", 12.47, 2,    7179.24, -159.4,   0.99718, 0, 0, 0, 0, 0, 0, 0, 0
"L3198355", 12.47, 2,    7178.85, -159.4,   0.99712, 0, 0, 0, 0, 0, 0, 0, 0
"L2805037", 12.47, 2,    7178.85, -159.4,   0.99712, 0, 0, 0, 0, 0, 0, 0, 0
"N1137994", 12.47, 3,     7372.2,   79.3,     1.024, 0, 0, 0, 0, 0, 0, 0, 0
"M1069484", 12.47, 3,    7370.72,   79.3,    1.0238, 0, 0, 0, 0, 0, 0, 0, 0
"L2860504", 12.47, 1,    7184.11,  -44.7,   0.99785, 0, 0, 0, 0, 0, 0, 0, 0
"L2860493", 12.47, 1,     7183.4,  -44.7,   0.99776, 0, 0, 0, 0, 0, 0, 0, 0
"M1026783", 12.47, 1,    7284.21,  -44.5,    1.0118, 2,    7382.07, -166.2,    1.0254, 3,    7381.25,   79.7,    1.0252
"M1026780", 12.47, 1,    7282.46,  -44.5,    1.0115, 2,    7381.91, -166.2,    1.0253, 3,    7380.28,   79.7,    1.0251
"P895111", 12.47, 3,    7464.21,   82.4,    1.0368, 0, 0, 0, 0, 0, 0, 0, 0
"L2895496", 12.47, 3,    7463.86,   82.4,    1.0367, 0, 0, 0, 0, 0, 0, 0, 0
"N1140819", 12.47, 1,    7192.77,  -44.6,   0.99906, 2,     7372.7, -166.2,     1.024, 3,    7325.72,   79.8,    1.0175
"M1026700", 12.47, 1,     7191.6,  -44.6,    0.9989, 2,    7372.34, -166.2,     1.024, 3,    7324.46,   79.8,    1.0173
"M1089173", 12.47, 3,    7268.13,   81.3,    1.0095, 0, 0, 0, 0, 0, 0, 0, 0
"L2935551", 12.47, 3,    7267.14,   81.3,    1.0094, 0, 0, 0, 0, 0, 0, 0, 0
"M1026344", 12.47, 1,    7175.81,  -40.7,    0.9967, 0, 0, 0, 0, 0, 0, 0, 0
"M1026364", 12.47, 1,    7175.51,  -40.7,   0.99666, 0, 0, 0, 0, 0, 0, 0, 0
"L2879070", 12.47, 1,    7349.89,  -44.6,    1.0209, 2,    7399.39, -166.5,    1.0278, 3,    7458.99,   79.7,     1.036
"L3216345", 12.47, 1,    7341.77,  -44.6,    1.0198, 2,    7396.82, -166.5,    1.0274, 3,       7457,   79.7,    1.0358
"M1069428", 12.47, 1,    7304.42,  -44.3,    1.0146, 2,    7253.33, -166.7,    1.0075, 3,    7356.02,   79.1,    1.0217
"N1139257", 12.47, 2,    7253.28, -166.7,    1.0075, 0, 0, 0, 0, 0, 0, 0, 0
"L2991919", 12.47, 1,    7171.77,  -40.7,   0.99614, 0, 0, 0, 0, 0, 0, 0, 0
"M1026361", 12.47, 1,    7169.22,  -40.7,   0.99579, 0, 0, 0, 0, 0, 0, 0, 0
"N1147857", 12.47, 1,    7196.06,  -44.9,   0.99951, 0, 0, 0, 0, 0, 0, 0, 0
"M1009742", 12.47, 1,    7194.33,  -44.9,   0.99927, 0, 0, 0, 0, 0, 0, 0, 0
"Q14412", 12.47, 1,    7263.44,  -40.8,    1.0089, 2,    7222.31, -161.6,    1.0032, 3,    7422.16,   79.9,    1.0309
"M1047325", 12.47, 1,    7260.84,  -40.8,    1.0085, 2,    7219.68, -161.6,    1.0028, 3,    7421.47,   79.9,    1.0308
"N1139263", 12.47, 1,    7312.35,  -44.4,    1.0157, 0, 0, 0, 0, 0, 0, 0, 0
"L3048227", 12.47, 1,    7312.29,  -44.4,    1.0157, 0, 0, 0, 0, 0, 0, 0, 0
"P827506", 12.47, 1,     7312.4,  -44.4,    1.0157, 0, 0, 0, 0, 0, 0, 0, 0
"M1069469", 12.47, 1,    7312.37,  -44.4,    1.0157, 0, 0, 0, 0, 0, 0, 0, 0
"M1027019", 12.47, 2,    7288.66, -167.0,    1.0124, 0, 0, 0, 0, 0, 0, 0, 0
"L2785522", 12.47, 2,    7288.55, -167.0,    1.0124, 0, 0, 0, 0, 0, 0, 0, 0
"L3216338", 12.47, 2,    7229.16, -167.2,    1.0041, 0, 0, 0, 0, 0, 0, 0, 0
"L2973146", 12.47, 2,    7229.05, -167.2,    1.0041, 0, 0, 0, 0, 0, 0, 0, 0
"M3037452", 12.47, 1,    7161.77,  -40.7,   0.99475, 0, 0, 0, 0, 0, 0, 0, 0
"L2973164", 12.47, 1,     7161.7,  -40.7,   0.99474, 0, 0, 0, 0, 0, 0, 0, 0
"L3120376", 12.47, 1,    7286.76,  -44.8,    1.0121, 0, 0, 0, 0, 0, 0, 0, 0
"M1026925", 12.47, 1,    7285.06,  -44.8,    1.0119, 0, 0, 0, 0, 0, 0, 0, 0
"M1047612", 12.47, 3,    7470.41,   79.7,    1.0376, 0, 0, 0, 0, 0, 0, 0, 0
"P828360", 12.47, 3,    7470.38,   79.7,    1.0376, 0, 0, 0, 0, 0, 0, 0, 0
"M1089195", 12.47, 3,    7508.12,   80.6,    1.0429, 0, 0, 0, 0, 0, 0, 0, 0
"L3141393", 12.47, 3,    7507.91,   80.6,    1.0428, 0, 0, 0, 0, 0, 0, 0, 0
"M1026946", 12.47, 2,    7304.94, -167.0,    1.0146, 0, 0, 0, 0, 0, 0, 0, 0
"M1026940", 12.47, 2,    7304.41, -167.0,    1.0146, 0, 0, 0, 0, 0, 0, 0, 0
"M1047471", 12.47, 2,    7108.38, -167.1,   0.98734, 0, 0, 0, 0, 0, 0, 0, 0
"L3216349", 12.47, 2,    7108.36, -167.1,   0.98733, 0, 0, 0, 0, 0, 0, 0, 0
"M1047401", 12.47, 1,    7127.58,  -44.8,      0.99, 0, 0, 0, 0, 0, 0, 0, 0
"L2748132", 12.47, 1,     7127.5,  -44.8,   0.98999, 0, 0, 0, 0, 0, 0, 0, 0
"L3122820", 12.47, 1,    7157.06,  -44.7,    0.9941, 0, 0, 0, 0, 0, 0, 0, 0
"L3141398", 12.47, 1,       7157,  -44.7,   0.99409, 0, 0, 0, 0, 0, 0, 0, 0
"M1108360", 12.47, 3,    7341.49,   81.5,    1.0197, 0, 0, 0, 0, 0, 0, 0, 0
"L3048968", 12.47, 3,    7341.26,   81.5,    1.0197, 0, 0, 0, 0, 0, 0, 0, 0
"L2801950", 12.47, 3,    7397.67,   80.4,    1.0275, 0, 0, 0, 0, 0, 0, 0, 0
"M1069224", 12.47, 3,    7397.01,   80.4,    1.0274, 0, 0, 0, 0, 0, 0, 0, 0
"L2766746", 12.47, 3,    7351.55,   79.5,    1.0211, 0, 0, 0, 0, 0, 0, 0, 0
"M1027073", 12.47, 3,    7349.43,   79.5,    1.0208, 0, 0, 0, 0, 0, 0, 0, 0
"M1142873", 12.47, 3,    7463.62,   82.4,    1.0367, 0, 0, 0, 0, 0, 0, 0, 0
"M1069181", 12.47, 1,    7388.38,  -40.3,    1.0262, 0, 0, 0, 0, 0, 0, 0, 0
"L2973151", 12.47, 1,    7386.77,  -40.3,     1.026, 0, 0, 0, 0, 0, 0, 0, 0
"L3179682", 12.47, 3,     7423.4,   81.6,    1.0311, 0, 0, 0, 0, 0, 0, 0, 0
"L2786274", 12.47, 3,    7423.32,   81.6,    1.0311, 0, 0, 0, 0, 0, 0, 0, 0
"L3066816", 12.47, 1,    7182.07,  -44.7,   0.99757, 0, 0, 0, 0, 0, 0, 0, 0
"M1026667", 12.47, 1,    7181.66,  -44.7,   0.99751, 0, 0, 0, 0, 0, 0, 0, 0
"M1108529", 12.47, 1,    7424.18,  -41.7,    1.0312, 2,    7456.89, -162.9,    1.0357, 3,    7504.29,   81.2,    1.0423
"M1108532", 12.47, 1,     7421.8,  -41.7,    1.0309, 2,    7455.39, -162.9,    1.0355, 3,    7504.37,   81.2,    1.0423
"L2766723", 12.47, 1,    7183.18,  -44.7,   0.99772, 0, 0, 0, 0, 0, 0, 0, 0
"L3122822", 12.47, 1,    7183.04,  -44.7,   0.99771, 0, 0, 0, 0, 0, 0, 0, 0
"L2673312", 12.47, 1,    7184.08,  -44.9,   0.99785, 0, 0, 0, 0, 0, 0, 0, 0
"L3235247", 12.47, 1,    7183.91,  -44.9,   0.99783, 0, 0, 0, 0, 0, 0, 0, 0
"M1166391", 12.47, 3,    7396.58,   84.8,    1.0274, 0, 0, 0, 0, 0, 0, 0, 0
"L3254873", 12.47, 3,    7392.58,   84.8,    1.0268, 0, 0, 0, 0, 0, 0, 0, 0
"L2861157", 12.47, 3,    7435.76,   84.9,    1.0328, 0, 0, 0, 0, 0, 0, 0, 0
"P901951", 12.47, 3,    7432.07,   84.9,    1.0323, 0, 0, 0, 0, 0, 0, 0, 0
"M1047346", 12.47, 1,    7286.83,  -40.8,    1.0121, 2,    7244.83, -161.6,    1.0063, 3,    7427.72,   79.9,    1.0317
"M1047345", 12.47, 1,    7283.05,  -40.8,    1.0116, 2,    7241.56, -161.6,    1.0058, 3,    7426.88,   79.9,    1.0316
"L2989596", 12.47, 2,    7296.75, -165.2,    1.0135, 0, 0, 0, 0, 0, 0, 0, 0
"L2822873", 12.47, 2,    7296.66, -165.2,    1.0135, 0, 0, 0, 0, 0, 0, 0, 0
"M1108328", 12.47, 3,    7399.78,   81.6,    1.0278, 0, 0, 0, 0, 0, 0, 0, 0
"L2875754", 12.47, 3,     7399.7,   81.6,    1.0278, 0, 0, 0, 0, 0, 0, 0, 0
"L2786204", 12.47, 3,     7497.9,   85.0,    1.0414, 0, 0, 0, 0, 0, 0, 0, 0
"M1209819", 12.47, 3,    7493.64,   85.0,    1.0408, 0, 0, 0, 0, 0, 0, 0, 0
"P901972", 12.47, 1,    7193.96,  -44.9,   0.99922, 0, 0, 0, 0, 0, 0, 0, 0
"M1009726", 12.47, 1,    7191.19,  -44.9,   0.99884, 0, 0, 0, 0, 0, 0, 0, 0
"M1047702", 12.47, 1,    7353.11,  -44.3,    1.0213, 0, 0, 0, 0, 0, 0, 0, 0
"N1137001", 12.47, 1,    7353.07,  -44.3,    1.0213, 0, 0, 0, 0, 0, 0, 0, 0
"L2767340", 12.47, 1,    6926.76,  -40.2,   0.96211, 2,     7106.8, -161.1,   0.98712, 3,    7460.08,   81.8,    1.0362
"M3037449", 12.47, 1,    6926.76,  -40.2,   0.96211, 2,     7106.8, -161.1,   0.98712, 3,    7460.08,   81.8,    1.0362
"M1047457", 12.47, 2,     7116.3, -167.1,   0.98844, 0, 0, 0, 0, 0, 0, 0, 0
"L2710546", 12.47, 2,     7115.4, -167.1,   0.98831, 0, 0, 0, 0, 0, 0, 0, 0
"L2674027", 12.47, 1,     6766.8,  -41.5,   0.93989, 2,    7029.14, -162.7,   0.97633, 3,     7458.2,   81.3,    1.0359
"L2692633", 12.47, 1,    6759.59,  -41.6,   0.93889, 2,    7025.09, -162.8,   0.97577, 3,    7458.16,   81.3,    1.0359
"N1142108", 12.47, 1,    7173.83,  -38.9,   0.99643, 0, 0, 0, 0, 0, 0, 0, 0
"L2674051", 12.47, 1,    7173.75,  -38.9,   0.99642, 0, 0, 0, 0, 0, 0, 0, 0
"M1069135", 12.47, 1,    7311.45,  -40.7,    1.0155, 2,    7266.04, -161.5,    1.0092, 3,    7434.37,   79.9,    1.0326
"R18242", 12.47, 1,    7306.42,  -40.8,    1.0148, 2,       7262, -161.6,    1.0087, 3,    7433.83,   79.9,    1.0325
"M1047534", 12.47, 1,    7470.66,  -44.1,    1.0377, 2,    7479.55, -166.1,    1.0389, 3,    7511.48,   79.8,    1.0433
"N1136663", 12.47, 1,    7449.01,  -44.2,    1.0346, 2,    7463.05, -166.1,    1.0366, 3,    7499.81,   79.8,    1.0417
"M1108508", 12.47, 3,    7505.12,   81.0,    1.0424, 0, 0, 0, 0, 0, 0, 0, 0
"L3097861", 12.47, 3,    7505.06,   81.0,    1.0424, 0, 0, 0, 0, 0, 0, 0, 0
"M1069560", 12.47, 2,    7292.71, -165.2,    1.0129, 0, 0, 0, 0, 0, 0, 0, 0
"L2973153", 12.47, 1,    7363.92,  -44.3,    1.0228, 2,    7352.75, -166.5,    1.0213, 3,    7472.53,   79.7,    1.0379
"N1136998", 12.47, 1,    7363.37,  -44.3,    1.0228, 2,    7351.48, -166.5,    1.0211, 3,    7472.69,   79.7,    1.0379
"L2898515", 12.47, 3,    7489.61,   83.6,    1.0403, 0, 0, 0, 0, 0, 0, 0, 0
"M1166387", 12.47, 3,    7489.42,   83.6,    1.0403, 0, 0, 0, 0, 0, 0, 0, 0
"M1047442", 12.47, 2,    7146.45, -167.0,   0.99262, 0, 0, 0, 0, 0, 0, 0, 0
"L3235250", 12.47, 2,    7146.39, -167.0,   0.99261, 0, 0, 0, 0, 0, 0, 0, 0
"M1142871", 12.47, 1,    7098.25,  -38.9,   0.98593, 2,    7199.51, -159.4,   0.99999, 3,    7464.52,   82.4,    1.0368
"M1142874", 12.47, 1,    7093.01,  -39.0,    0.9852, 2,     7196.5, -159.5,   0.99958, 3,    7464.25,   82.4,    1.0368
"L2955081", 12.47, 1,    7174.32,  -38.9,   0.99649, 2,    7186.53, -159.2,   0.99819, 3,    7425.86,   81.7,    1.0314
"M1108315", 12.47, 1,    7174.67,  -39.0,   0.99654, 2,    7183.86, -159.3,   0.99782, 3,    7423.62,   81.6,    1.0311
"L2973162", 12.47, 1,    7175.89,  -40.7,   0.99671, 2,    7100.54, -161.9,   0.98625, 3,    7417.01,   80.0,    1.0302
"M1026333", 12.47, 1,    7175.29,  -40.7,   0.99663, 2,    7096.79, -161.9,   0.98573, 3,    7417.89,   80.0,    1.0303
"M1009832", 12.47, 2,    7237.59, -167.2,    1.0053, 0, 0, 0, 0, 0, 0, 0, 0
"L2860479", 12.47, 2,    7237.56, -167.2,    1.0053, 0, 0, 0, 0, 0, 0, 0, 0
"M1026854", 12.47, 1,    7301.93,  -44.7,    1.0142, 2,    7380.79, -166.7,    1.0252, 3,    7446.74,   79.7,    1.0343
"P901894", 12.47, 1,    7301.71,  -44.7,    1.0142, 0, 0, 0, 0, 0, 0, 0, 0
"M1026485", 12.47, 2,    7200.78, -161.7,    1.0002, 0, 0, 0, 0, 0, 0, 0, 0
"M1026492", 12.47, 2,    7200.54, -161.7,    1.0001, 0, 0, 0, 0, 0, 0, 0, 0
"D6413567-3_INT", 12.47, 1,    7410.26,  -40.2,    1.0293, 2,    7389.34, -160.8,    1.0264, 3,    7434.36,   80.4,    1.0326
"E182724", 12.47, 1,    7410.21,  -40.2,    1.0293, 2,    7389.27, -160.8,    1.0264, 3,    7434.36,   80.4,    1.0326
"N1139541", 12.47, 1,    7412.19,  -40.2,    1.0295, 2,    7390.98, -160.7,    1.0266, 3,    7434.51,   80.4,    1.0326
"M4122658", 12.47, 1,    6852.43,  -40.8,   0.95178, 2,    7072.44, -161.8,   0.98234, 3,    7459.52,   81.6,    1.0361
"L2933135", 12.47, 1,    6852.23,  -40.8,   0.95176, 2,    7072.35, -161.8,   0.98233, 3,    7459.51,   81.6,    1.0361
"L2729414", 12.47, 1,    7212.23,  -44.6,    1.0018, 2,    7375.34, -166.2,    1.0244, 3,    7339.92,   79.8,    1.0195
"L2729430", 12.47, 2,    7274.67, -167.1,    1.0104, 0, 0, 0, 0, 0, 0, 0, 0
