Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2, I3_1, Ang3_1, I3_2, Ang3_2, I3_3, Ang3_3, I3_4, Ang3_4, Iresid3, AngResid3
Line.LN6321415-1,    1.41604,  -173.53,          0,     0.00,          0,     0.00,          0,     0.00,    1.41604,  -173.53,    1.41646,     6.41,          0,     0.00,          0,     0.00,          0,     0.00,    1.41646,     6.41,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5565092-1,    2.15461,    64.73,          0,     0.00,          0,     0.00,          0,     0.00,    2.15461,    64.73,    2.15463,  -115.28,          0,     0.00,          0,     0.00,          0,     0.00,    2.15463,  -115.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6073648-1,    3.07084,   -55.64,          0,     0.00,          0,     0.00,          0,     0.00,    3.07084,   -55.64,    3.07087,   124.35,          0,     0.00,          0,     0.00,          0,     0.00,    3.07087,   124.35,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774457-1,    30.1354,   -59.78,    24.0545,   178.25,    22.8122,    64.75,          0,     0.00,    4.74859,   -79.63,    30.1357,   120.22,    24.0549,    -1.75,    22.8124,  -115.25,          0,     0.00,    4.74858,   100.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5534966-3,    11.1219,   -59.26,          0,     0.00,          0,     0.00,          0,     0.00,    11.1219,   -59.26,     11.122,   120.74,          0,     0.00,          0,     0.00,          0,     0.00,     11.122,   120.74,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5859996-1,    2.80906,   178.46,          0,     0.00,          0,     0.00,          0,     0.00,    2.80906,   178.46,    2.80908,    -1.54,          0,     0.00,          0,     0.00,          0,     0.00,    2.80908,    -1.54,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6138610-2,    119.317,   -59.31,    91.0536,   178.46,    103.473,    64.58,          0,     0.00,    15.8001,   -25.10,    119.317,   120.69,    91.0538,    -1.54,    103.473,  -115.42,          0,     0.00,    15.8001,   154.90,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6258435-3,    2.53491,   -59.23,          0,     0.00,          0,     0.00,          0,     0.00,    2.53491,   -59.23,    2.53534,   120.73,          0,     0.00,          0,     0.00,          0,     0.00,    2.53534,   120.73,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804790-1,    1.47088,    66.50,          0,     0.00,          0,     0.00,          0,     0.00,    1.47088,    66.50,    1.47175,  -113.63,          0,     0.00,          0,     0.00,          0,     0.00,    1.47175,  -113.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6900591-14,    4.58347,   -59.60,          0,     0.00,          0,     0.00,          0,     0.00,    4.58347,   -59.60,    4.58376,   120.39,          0,     0.00,          0,     0.00,          0,     0.00,    4.58376,   120.39,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6409873-1,    10.5563,  -174.97,          0,     0.00,          0,     0.00,          0,     0.00,    10.5563,  -174.97,    10.5566,     5.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.5566,     5.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6014135-1,    9.65926,   -55.68,          0,     0.00,          0,     0.00,          0,     0.00,    9.65926,   -55.68,    9.65928,   124.32,          0,     0.00,          0,     0.00,          0,     0.00,    9.65928,   124.32,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077784-1,    58.0374,   -59.72,    69.6832,   178.13,    42.4032,    64.80,          0,     0.00,    24.2579,  -156.98,    58.0379,   120.28,    69.6838,    -1.87,    42.4035,  -115.21,          0,     0.00,    24.2579,    23.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5744338-1,    27.2812,  -176.89,          0,     0.00,          0,     0.00,          0,     0.00,    27.2812,  -176.89,    27.2815,     3.11,          0,     0.00,          0,     0.00,          0,     0.00,    27.2815,     3.11,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6991381-4,     5.1018,   -59.41,          0,     0.00,          0,     0.00,          0,     0.00,     5.1018,   -59.41,    5.10216,   120.58,          0,     0.00,          0,     0.00,          0,     0.00,    5.10216,   120.58,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774480-1,    31.8418,   179.81,          0,     0.00,          0,     0.00,          0,     0.00,    31.8418,   179.81,    31.8424,    -0.19,          0,     0.00,          0,     0.00,          0,     0.00,    31.8424,    -0.19,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5986938-3,    5.45583,   -59.43,          0,     0.00,          0,     0.00,          0,     0.00,    5.45583,   -59.43,    5.45587,   120.57,          0,     0.00,          0,     0.00,          0,     0.00,    5.45587,   120.57,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5894230-1,    1.44773,    69.89,          0,     0.00,          0,     0.00,          0,     0.00,    1.44773,    69.89,     1.4483,  -110.19,          0,     0.00,          0,     0.00,          0,     0.00,     1.4483,  -110.19,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5683858-3,    2.60607,   -59.57,     4.1732,   178.89,    2.93594,    64.91,          0,     0.00,    1.68096,   162.97,     2.6062,   120.42,    4.17334,    -1.11,    2.93603,  -115.10,          0,     0.00,    1.68095,   -17.03,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5920279-5,    349.474,   -49.44,    325.705,  -171.05,    224.934,    79.40,          0,     0.00,    108.895,  -119.20,    349.475,   130.56,    325.706,     8.95,    224.934,  -100.60,          0,     0.00,    108.895,    60.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6439600-1,    1.29782,   -59.59,          0,     0.00,          0,     0.00,          0,     0.00,    1.29782,   -59.59,     1.2983,   120.33,          0,     0.00,          0,     0.00,          0,     0.00,     1.2983,   120.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5589097-1,    1.96582,   -53.68,          0,     0.00,          0,     0.00,          0,     0.00,    1.96582,   -53.68,    1.96594,   126.31,          0,     0.00,          0,     0.00,          0,     0.00,    1.96594,   126.31,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5651975-1,    61.7013,   -59.45,     14.867,   179.20,    33.1692,    65.02,          0,     0.00,    38.1204,   -36.84,    61.7016,   120.55,    14.8673,    -0.81,    33.1694,  -114.98,          0,     0.00,    38.1205,   143.16,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865236-1,    2.54713,   -59.03,          0,     0.00,          0,     0.00,          0,     0.00,    2.54713,   -59.03,    2.54717,   120.96,          0,     0.00,          0,     0.00,          0,     0.00,    2.54717,   120.96,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5593232-1,    1.44065,    65.58,          0,     0.00,          0,     0.00,          0,     0.00,    1.44065,    65.58,    1.44131,  -114.52,          0,     0.00,          0,     0.00,          0,     0.00,    1.44131,  -114.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5740283-1,    1.71472,    67.19,          0,     0.00,          0,     0.00,          0,     0.00,    1.71472,    67.19,    1.71475,  -112.82,          0,     0.00,          0,     0.00,          0,     0.00,    1.71475,  -112.82,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6106559-1,     3.9437,   179.79,          0,     0.00,          0,     0.00,          0,     0.00,     3.9437,   179.79,    3.94415,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,    3.94415,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5714056-3,    51.8452,   -59.48,    11.4084,   179.13,    25.3604,    65.01,          0,     0.00,    33.4593,   -40.00,    51.8462,   120.51,    11.4094,    -0.89,     25.361,  -115.00,          0,     0.00,    33.4593,   140.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5985355-3,    55.5538,   179.85,          0,     0.00,          0,     0.00,          0,     0.00,    55.5538,   179.85,    55.5541,    -0.15,          0,     0.00,          0,     0.00,          0,     0.00,    55.5541,    -0.15,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5531956-1,    1.28904,   -58.00,          0,     0.00,          0,     0.00,          0,     0.00,    1.28904,   -58.00,    1.28935,   121.95,          0,     0.00,          0,     0.00,          0,     0.00,    1.28935,   121.95,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5650048-1,    1.40779,   179.81,          0,     0.00,          0,     0.00,          0,     0.00,    1.40779,   179.81,    1.40807,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,    1.40807,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6290203-1,    21.9655,   -59.04,    54.7985,   178.16,    39.1331,    64.20,          0,     0.00,    32.0757,   145.52,    21.9662,   120.95,    54.7994,    -1.85,    39.1336,  -115.80,          0,     0.00,    32.0756,   -34.48,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6134414-1,    2.84587,    65.74,          0,     0.00,          0,     0.00,          0,     0.00,    2.84587,    65.74,    2.84615,  -114.28,          0,     0.00,          0,     0.00,          0,     0.00,    2.84615,  -114.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6259998-2,    1.73198,    64.81,          0,     0.00,          0,     0.00,          0,     0.00,    1.73198,    64.81,    1.73204,  -115.20,          0,     0.00,          0,     0.00,          0,     0.00,    1.73204,  -115.20,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6078767-1,    106.836,   -30.84,    126.099,  -155.63,    155.302,    82.12,          0,     0.00,    47.0869,    92.25,    106.836,   149.16,    126.099,    24.37,    155.302,   -97.88,          0,     0.00,    47.0869,   -87.75,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6017300-1,   0.860144,    65.56,          0,     0.00,          0,     0.00,          0,     0.00,   0.860144,    65.56,   0.860541,  -114.54,          0,     0.00,          0,     0.00,          0,     0.00,   0.860541,  -114.54,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN8979257-2,    1.35568,   -55.06,    1.44655,  -176.08,    1.43242,    67.13,          0,     0.00,    0.15544,   135.13,    1.35611,   124.87,    1.44699,     3.85,    1.43288,  -112.94,          0,     0.00,   0.155392,   -44.94,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN81048109-1,    4.38994,  -176.11,          0,     0.00,          0,     0.00,          0,     0.00,    4.38994,  -176.11,    4.39182,     3.80,          0,     0.00,          0,     0.00,          0,     0.00,    4.39182,     3.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.293471,     1.2907,   -55.71,    1.42648,  -176.64,    1.44256,    65.00,          0,     0.00,   0.179845,   118.97,    1.29092,   124.26,    1.42672,     3.33,    1.44273,  -115.04,          0,     0.00,   0.179817,   -61.03,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5534965-2,    1.27676,   -59.31,          0,     0.00,          0,     0.00,          0,     0.00,    1.27676,   -59.31,    1.27678,   120.68,          0,     0.00,          0,     0.00,          0,     0.00,    1.27678,   120.68,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5655683-1,    20.4504,   -59.54,          0,     0.00,          0,     0.00,          0,     0.00,    20.4504,   -59.54,    20.4505,   120.46,          0,     0.00,          0,     0.00,          0,     0.00,    20.4505,   120.46,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5686247-1,    1.99125,  -174.18,          0,     0.00,          0,     0.00,          0,     0.00,    1.99125,  -174.18,    1.99128,     5.81,          0,     0.00,          0,     0.00,          0,     0.00,    1.99128,     5.81,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6048642-1, 0.00189627,   -69.37,          0,     0.00,          0,     0.00,          0,     0.00, 0.00189627,   -69.37, 1.81899E-012,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00, 1.81899E-012,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5928544-3,    14.5249,    64.45,          0,     0.00,          0,     0.00,          0,     0.00,    14.5249,    64.45,    14.5252,  -115.55,          0,     0.00,          0,     0.00,          0,     0.00,    14.5252,  -115.55,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6108172-1,    2.59446,   -59.54,          0,     0.00,          0,     0.00,          0,     0.00,    2.59446,   -59.54,     2.5954,   120.38,          0,     0.00,          0,     0.00,          0,     0.00,     2.5954,   120.38,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532754-1,     56.982,   -59.46,    14.8714,   179.14,    27.6827,    65.04,          0,     0.00,    35.0467,   -42.68,    56.9821,   120.54,    14.8716,    -0.86,    27.6828,  -114.96,          0,     0.00,    35.0467,   137.32,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5591834-1,    3.71978,    67.55,          0,     0.00,          0,     0.00,          0,     0.00,    3.71978,    67.55,     3.7201,  -112.47,          0,     0.00,          0,     0.00,          0,     0.00,     3.7201,  -112.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6347196-2,    28.0294,   -59.47,    10.5801,   179.11,    25.3618,    64.99,          0,     0.00,    14.4164,    -3.96,    28.0296,   120.53,    10.5803,    -0.89,    25.3619,  -115.01,          0,     0.00,    14.4164,   176.04,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532741-1,    8.97562,    66.51,          0,     0.00,          0,     0.00,          0,     0.00,    8.97562,    66.51,    8.97589,  -113.49,          0,     0.00,          0,     0.00,          0,     0.00,    8.97589,  -113.49,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804803-1,   0.776189,   -55.26,          0,     0.00,          0,     0.00,          0,     0.00,   0.776189,   -55.26,   0.777507,   124.37,          0,     0.00,          0,     0.00,          0,     0.00,   0.777507,   124.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6169248-1,    111.705,   -59.68,    74.5277,   178.17,    45.2677,    64.83,          0,     0.00,    53.0948,   -88.76,    111.706,   120.32,    74.5286,    -1.83,    45.2681,  -115.17,          0,     0.00,    53.0948,    91.24,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5532786-2,    2.25399,   178.38,          0,     0.00,          0,     0.00,          0,     0.00,    2.25399,   178.38,    2.25406,    -1.63,          0,     0.00,          0,     0.00,          0,     0.00,    2.25406,    -1.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5744339-1,     16.527,   -55.63,          0,     0.00,          0,     0.00,          0,     0.00,     16.527,   -55.63,    16.5274,   124.36,          0,     0.00,          0,     0.00,          0,     0.00,    16.5274,   124.36,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5531255-3,    16.9835,   -59.78,          0,     0.00,          0,     0.00,          0,     0.00,    16.9835,   -59.78,    16.9838,   120.22,          0,     0.00,          0,     0.00,          0,     0.00,    16.9838,   120.22,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5926308-2,    40.3781,   -55.58,    49.1102,  -176.76,    19.1691,    65.20,          0,     0.00,    26.0586,  -134.20,    40.3784,   124.42,    49.1105,     3.24,    19.1692,  -114.80,          0,     0.00,    26.0586,    45.80,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5683856-3,     1.2748,   -59.35,          0,     0.00,          0,     0.00,          0,     0.00,     1.2748,   -59.35,    1.27492,   120.63,          0,     0.00,          0,     0.00,          0,     0.00,    1.27492,   120.63,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6171502-1,    2.03715,   -59.27,          0,     0.00,          0,     0.00,          0,     0.00,    2.03715,   -59.27,    2.03719,   120.73,          0,     0.00,          0,     0.00,          0,     0.00,    2.03719,   120.73,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5593228-1,    1.40286,   178.03,          0,     0.00,          0,     0.00,          0,     0.00,    1.40286,   178.03,    1.40314,    -2.01,          0,     0.00,          0,     0.00,          0,     0.00,    1.40314,    -2.01,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6380800-1,     1.4145,   177.91,          0,     0.00,          0,     0.00,          0,     0.00,     1.4145,   177.91,    1.41477,    -2.13,          0,     0.00,          0,     0.00,          0,     0.00,    1.41477,    -2.13,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6199525-2,   0.519193,   -55.61,          0,     0.00,          0,     0.00,          0,     0.00,   0.519193,   -55.61,   0.519508,   124.26,          0,     0.00,          0,     0.00,          0,     0.00,   0.519508,   124.26,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5772710-2,    10.2286,   -59.71,          0,     0.00,          0,     0.00,          0,     0.00,    10.2286,   -59.71,     10.229,   120.28,          0,     0.00,          0,     0.00,          0,     0.00,     10.229,   120.28,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN8961760-1,    5.02308,    64.99,          0,     0.00,          0,     0.00,          0,     0.00,    5.02308,    64.99,    5.02318,  -115.02,          0,     0.00,          0,     0.00,          0,     0.00,    5.02318,  -115.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6047556-1,    1.42318,    65.71,          0,     0.00,          0,     0.00,          0,     0.00,    1.42318,    65.71,    1.42371,  -114.37,          0,     0.00,          0,     0.00,          0,     0.00,    1.42371,  -114.37,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6138603-1,    2.23687,   178.17,          0,     0.00,          0,     0.00,          0,     0.00,    2.23687,   178.17,    2.23744,    -1.88,          0,     0.00,          0,     0.00,          0,     0.00,    2.23744,    -1.88,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6108139-1,   0.861762,   177.95,          0,     0.00,          0,     0.00,          0,     0.00,   0.861762,   177.95,   0.861845,    -2.07,          0,     0.00,          0,     0.00,          0,     0.00,   0.861845,    -2.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6388581-2,   0.781122,   -59.23,          0,     0.00,          0,     0.00,          0,     0.00,   0.781122,   -59.23,    0.78136,   120.71,          0,     0.00,          0,     0.00,          0,     0.00,    0.78136,   120.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774460-1,   0.779558,   -59.64,          0,     0.00,          0,     0.00,          0,     0.00,   0.779558,   -59.64,   0.779827,   120.29,          0,     0.00,          0,     0.00,          0,     0.00,   0.779827,   120.29,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5624387-1,    2.19068,    66.56,          0,     0.00,          0,     0.00,          0,     0.00,    2.19068,    66.56,    2.19093,  -113.47,          0,     0.00,          0,     0.00,          0,     0.00,    2.19093,  -113.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6137087-1,     11.562,    65.54,          0,     0.00,          0,     0.00,          0,     0.00,     11.562,    65.54,    11.5621,  -114.47,          0,     0.00,          0,     0.00,          0,     0.00,    11.5621,  -114.47,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6077809-1,    14.5572,    64.56,          0,     0.00,          0,     0.00,          0,     0.00,    14.5572,    64.56,    14.5577,  -115.44,          0,     0.00,          0,     0.00,          0,     0.00,    14.5577,  -115.44,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6440079-1,     3.7201,    67.53,          0,     0.00,          0,     0.00,          0,     0.00,     3.7201,    67.53,    3.72034,  -112.48,          0,     0.00,          0,     0.00,          0,     0.00,    3.72034,  -112.48,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5804794-1,    11.4879,   -55.27,          0,     0.00,          0,     0.00,          0,     0.00,    11.4879,   -55.27,    11.4882,   124.72,          0,     0.00,          0,     0.00,          0,     0.00,    11.4882,   124.72,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5654484-1,    1.43994,    66.69,          0,     0.00,          0,     0.00,          0,     0.00,    1.43994,    66.69,    1.44007,  -113.33,          0,     0.00,          0,     0.00,          0,     0.00,    1.44007,  -113.33,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5774465-1,    2.60461,   -59.25,          0,     0.00,          0,     0.00,          0,     0.00,    2.60461,   -59.25,    2.60515,   120.71,          0,     0.00,          0,     0.00,          0,     0.00,    2.60515,   120.71,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5473349-1,    299.343,   -49.03,    303.146,  -170.99,    210.644,    80.21,          0,     0.00,    94.2167,  -135.59,    299.343,   130.97,    303.146,     9.01,    210.644,   -99.79,          0,     0.00,    94.2167,    44.41,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6169253-1,     1.2977,   -59.61,          0,     0.00,          0,     0.00,          0,     0.00,     1.2977,   -59.61,    1.29795,   120.35,          0,     0.00,          0,     0.00,          0,     0.00,    1.29795,   120.35,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6350536-1,   0.776152,   -59.73,          0,     0.00,          0,     0.00,          0,     0.00,   0.776152,   -59.73,   0.776904,   120.06,          0,     0.00,          0,     0.00,          0,     0.00,   0.776904,   120.06,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6048523-1,    20.8453,    69.94,          0,     0.00,          0,     0.00,          0,     0.00,    20.8453,    69.94,    20.8457,  -110.07,          0,     0.00,          0,     0.00,          0,     0.00,    20.8457,  -110.07,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5594152-1,    23.1453,    69.98,          0,     0.00,          0,     0.00,          0,     0.00,    23.1453,    69.98,    23.1459,  -110.02,          0,     0.00,          0,     0.00,          0,     0.00,    23.1459,  -110.02,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5865248-1,    47.2844,   -55.58,     51.236,  -176.74,    19.1675,    65.23,          0,     0.00,    29.4915,  -123.78,    47.2847,   124.42,    51.2364,     3.25,    19.1678,  -114.78,          0,     0.00,    29.4915,    56.22,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN6046143-1,    0.55825,   179.93,          0,     0.00,          0,     0.00,          0,     0.00,    0.55825,   179.93,   0.558647,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,   0.558647,    -0.23,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Line.LN5803287-1,     2.9044,    66.67,          0,     0.00,          0,     0.00,          0,     0.00,     2.9044,    66.67,     2.9045,  -113.34,          0,     0.00,          0,     0.00,          0,     0.00,     2.9045,  -113.34,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
